# freq[GHz], person, starttime, 300K_temp_before, 300K_temp_before2, 300K_temp_after, 300K_temp_after2, endtime
9.9, adachi, 2023-03-03-10:51:36, 13.6, 0., 14.2, 0., 2023-03-03-11:31:21
10.0, jsuzuki, 2023-03-06-09:42:37, 14.4, 0., 15.0, 0., 2023-03-06-10:26:28
10.1, jsuzuki, 2023-03-06-10:27:28, 14.8, 0., 15.1, 0., 2023-03-06-11:06:19
10.2, jsuzuki, 2023-03-06-11:06:25, 15.0, 0., 15.4, 0., 2023-03-06-11:44:03
10.3, jsuzuki, 2023-03-06-12:27:17, 14.6, 0., 15.8, 0., 2023-03-06-13:04:44
10.4, jsuzuki, 2023-03-06-13:04:59, 15.3, 0., 15.8, 0., 2023-03-06-13:41:46
10.5, jsuzuki, 2023-03-06-13:42:01, 14.8, 0., 15.8, 0., 2023-03-06-14:18:46
10.6, jsuzuki, 2023-03-06-14:18:55, 15.3, 0., 15.9, 0., 2023-03-06-14:56:11
10.7, jsuzuki, 2023-03-06-14:56:27, 15.2, 0., 16.4, 0., 2023-03-06-16:04:02
10.8, jsuzuki, 2023-03-06-16:04:12, 15.5, 0., 16.5, 0., 2023-03-06-16:41:53
10.9, toshi, 2023-03-07-09:27:20, 14.3, 0., 15.1, 0., 2023-03-07-10:18:20
11.0, toshi, 2023-03-07-10:19:04, 14.1, 0., 14.9, 0., 2023-03-07-11:12:18
11.1, toshi, 2023-03-07-11:12:34, 14.4, 0., 15.6, 0., 2023-03-07-12:01:01
11.2, toshi, 2023-03-07-12:01:11, 14.9, 0., 15.5, 0., 2023-03-07-12:49:11
11.3, toshi, 2023-03-07-12:49:49, 15.0, 0., 15.7, 0., 2023-03-07-13:37:13
11.4, toshi, 2023-03-07-13:37:27, 15.3, 14.4, 15.8, 15.4, 2023-03-07-14:29:32
11.5, toshi, 2023-03-07-14:29:57, 15.2, 14.9, 16.3, 16.1, 2023-03-07-15:17:08
11.6, toshi, 2023-03-07-15:18:59, 15.8, 14.3, 15.7, 16.0, 2023-03-07-16:06:28
11.7, toshi, 2023-03-07-16:06:38, 15.9, 14.8, 16.4, 16.3, 2023-03-07-16:54:37
11.8, muto, 2023-03-08-10:53:08, 15.6, 15.6, 16.3, 16.4, 2023-03-08-11:47:24
11.9, muto, 2023-03-08-13:07:08, 16.0, 15.6, 17.3, 17.1, 2023-03-08-13:58:13
12.0, muto, 2023-03-08-13:58:46, 16.3, 16.3, 17.4, 17.1, 2023-03-08-14:47:38
12.1, muto, 2023-03-08-14:47:58, 16.9, 15.9, 17.6, 17.4, 2023-03-08-15:36:04
12.2, muto, 2023-03-08-15:36:16, 17.1, 15.6, 17.9, 17.6, 2023-03-08-16:24:01
12.3, muto, 2023-03-08-16:24:30, 17.4, 17.3, 17.8, 17.9, 2023-03-08-17:16:01
12.4, muto, 2023-03-08-17:16:37, 17.1, 16.1, 18.0, 17.9, 2023-03-08-18:05:35
12.5, muto, 2023-03-08-18:06:09, 16.7, 16.5, 17.7, 17.8, 2023-03-08-18:54:19
12.6, muto, 2023-03-08-18:54:47, 17.1, 15.9, 17.8, 17.6, 2023-03-08-19:45:17
12.7, honda, 2023-03-09-09:22:18, 16.4, 16.1, 17.2, 17.1, 2023-03-09-10:13:18
12.8, honda, 2023-03-09-10:13:33, 16.6, 15.1, 17.3, 17.1, 2023-03-09-10:59:27
12.9, honda, 2023-03-09-10:59:38, 17.0, 15.8, 17.9, 17.4, 2023-03-09-11:46:27
13.0, honda, 2023-03-09-11:46:47, 16.9, 15.7, 18.1, 17.8, 2023-03-09-12:34:25
13.1, honda, 2023-03-09-12:34:37, 16.9, 16.1, 18.1, 17.8, 2023-03-09-13:23:06
13.2, honda, 2023-03-09-13:23:15, 17.6, 16.5, 18.4, 18.1, 2023-03-09-14:11:20
13.3, honda, 2023-03-09-14:11:29, 17.4, 16.4, 18.1, 18.3, 2023-03-09-15:00:02
13.4, honda, 2023-03-09-15:00:11, 17.3, 16.6, 18.3, 18.3, 2023-03-09-15:48:44
13.5, honda, 2023-03-09-15:48:57, 17.5, 16.8, 18.5, 18.3, 2023-03-09-16:38:53
13.6, takeuchi, 2023-03-13-10:22:47, 19.1, 18.7, 19.8, 19.6, 2023-03-13-11:16:32
13.7, takeuchi, 2023-03-13-11:17:34, 17.9, 17.7, 19.8, 19.3, 2023-03-13-12:10:08
13.8, takeuchi, 2023-03-13-12:10:27, 19.1, 17.6, 19.6, 19.4, 2023-03-13-13:02:49
13.9, takeuchi, 2023-03-13-13:03:09, 18.9, 17.7, 19.1, 19.2, 2023-03-13-13:54:18
14.0, takeuchi, 2023-03-13-13:54:40, 18.5, 17.4, 19.5, 19.1, 2023-03-13-14:46:28
14.1, takeuchi, 2023-03-13-14:46:41, 19.0, 17.3, 19.3, 19.3, 2023-03-13-15:37:26
14.2, takeuchi, 2023-03-13-15:37:48, 18.6, 17.4, 18.9, 19.4, 2023-03-13-16:30:01
14.3, takeuchi, 2023-03-13-16:30:22, 18.6, 17.4, 19.1, 19.1, 2023-03-13-17:24:20
14.4, takeuchi, 2023-03-13-17:24:41, 18.6, 19.1, 19.3, 19.0, 2023-03-13-18:14:40
14.5, sueno, 2023-03-14-09:20:17, 15.5, 16.1, 17.5, 17.3, 2023-03-14-10:19:44
14.6, sueno, 2023-03-14-10:20:03, 16.7, 15.6, 17.5, 17.5, 2023-03-14-11:09:28
14.7, sueno, 2023-03-14-11:09:41, 16.4, 15.9, 17.9, 17.6, 2023-03-14-11:57:01
14.8, sueno, 2023-03-14-11:57:20, 16.9, 15.9, 17.8, 17.7, 2023-03-14-12:44:20
14.9, sueno, 2023-03-14-12:44:37, 16.5, 15.7, 17.6, 17.6, 2023-03-14-13:32:21
15.0, sueno, 2023-03-14-13:32:41, 17.1, 16.1, 17.9, 17.9, 2023-03-14-14:19:30
15.1, sueno, 2023-03-14-14:19:44, 17.7, 16.6, 18.0, 17.8, 2023-03-14-15:07:09
15.2, sueno, 2023-03-14-15:07:39, 17.2, 16.0, 18.3, 18.1, 2023-03-14-16:00:23
15.3, sueno, 2023-03-14-16:00:39, 16.9, 16.1, 18.3, 17.8, 2023-03-14-16:46:50
15.4, tajima, 2023-03-15-09:13:21, 16.9, 16.3, 17.9, 17.6, 2023-03-15-10:04:06
15.5, tajima, 2023-03-15-10:04:23, 16.7, 16.7, 18.3, 18.1, 2023-03-15-10:53:29
15.6, tajima, 2023-03-15-10:53:42, 17.2, 16.0, 18.5, 17.9, 2023-03-15-11:41:35
15.7, tajima, 2023-03-15-11:41:47, 17.4, 16.1, 18.9, 18.2, 2023-03-15-12:29:56
15.8, tajima, 2023-03-15-12:30:06, 17.6, 16.3, 18.9, 18.2, 2023-03-15-13:18:06
15.9, tajima, 2023-03-15-13:18:21, 17.9, 16.6, 18.9, 18.6, 2023-03-15-14:05:18
16.0, tajima, 2023-03-15-14:05:27, 18.1, 19.9, 19.1, 18.8, 2023-03-15-14:52:20
